heatwave_period	treatment	Tleaf_mean	Tleaf_sd	Tleaf_n	cooling_capacity_mean	cooling_capacity_sd	cooling_capacity_n	gsw_mean	gsw_sd	gsw_n	VPDleaf_mean	VPDleaf_sd	VPDleaf_n
HW1_2022	2L_NS	31.507512727	4.69039498039099	10	0.949177898999999	0.658026880998683	10	0.1004529143	0.0941891688625399	10	2.1749704481	0.500076106940357	10
HW1_2022	2L_S	32.7235930315385	3.70635963674629	13	0.749221922307693	0.673756509142357	13	0.133674354692308	0.1040610009198	13	2.39864691976923	0.523561851806114	13
HW1_2022	4L_NS	32.5169392986667	3.433115835445	15	0.575979634666666	0.90382694556115	15	0.1633111428	0.144526678385547	15	2.2022754932	0.395527110257696	15
HW1_2022	4L_S	31.8790011476471	3.8609582090089	34	0.760162175588236	0.719951923159467	34	0.131074906735294	0.104521729625059	34	2.20023074991176	0.472742159193758	34
HW2_2022	2L_NS	37.1694871158333	5.56146313476368	12	1.293036175	0.144463015094841	12	0.0174040770833333	0.0110666074234103	12	3.21699722608333	1.10445656270672	12
HW2_2022	2L_S	37.247221545	5.54360413087463	12	1.3255577825	0.0864279468433282	12	0.0146867111666667	0.00622251861714697	12	3.06010547408333	0.914651239539476	12
HW2_2022	4L_NS	37.18293694	5.54850783407796	12	1.2675445775	0.240429381806851	12	0.02182752775	0.0250236183628822	12	3.17299693875	1.05470769181015	12
HW_2023	2L_NS	31.9884427476417	3.45916291638699	83	4.40849529298379	10.5046820967308	83	0.232405212585024	0.167234857503908	83	2.39815466583509	0.620932671601504	83
HW_2023	2L_S	31.8673112980882	3.20188534422066	56	3.38639934705824	9.18191186718668	56	0.260082467530524	0.151417521445798	56	2.27861380176832	0.532411667473634	56
HW_2023	4L_NS	31.8567214593258	3.09170451622727	55	3.31542019597817	9.16142428719397	55	0.28446874166673	0.166014735603285	55	2.28916033143001	0.570042941575813	55
HW_2023	4L_S	31.4497314159827	2.84306567123739	61	2.62330032084617	7.93316508458624	61	0.290965092065206	0.139412712165078	61	2.20696692948676	0.451344081990138	61
